A89931C1F29B161B8BE717DFAB4A4ADB54B42B84 Lufia_2_SNES                 -- Lufia 2: Rise of the Sinistrals
E8F34D93576048528BE4CB736F292EDB431083E0 FF1_NES                      -- Final Fantasy (USA)
6472695D69661490F78245E2982E1E676C080BE7 FF1_2_GBA                    -- Final Fantasy I & II Dawn of Souls
C11C84C028EB8C450F935C83D7E5A22D86C2B108 FF2_NES                      -- Final Fantasy II (Japan) (En) (v1.6) (Chaos Rush)
C198FB94127BBE2247CC566CB0AC2FE15FADE10E FF3_NES                      -- Final Fantasy III (Japan) (En) (v1.3)
41A74EB369A7A91815529EF99AB1B20E2BDF3E26 FF4_SNES                     -- Final Fantasy II (US Rev 1)
492789276EAA3E94152B143AD92F310B8A3D5366 FF5_GBA                      -- Final Fantasy V Advance (USA)
057ADA1C641E3E0B3CA34E6E4F4EB1B05A87143A FF6_SNES                     -- Final Fantasy III (US Rev 1)
